strong_conductance,maximum_relative_radius_gap,maximum_port_block_distance
10,0.1553521700769844,0.2095409784393188
31.62277660168379,0.05982233071058724,0.07786071455041542
100,0.02025954278456584,0.02605641092693727
316.227766016838,0.006551231664148276,0.008394131639543371
1000,0.00208649288020636,0.002670267163626112
3162.277660168379,0.000661299491755821,0.0008460056691300913
10000,0.0002092708735511226,0.0002676901728828581
31622.77660168379,6.619223355838724e-05,8.466704658414703e-05
100000,2.093331978102986e-05,2.677566947598791e-05
316227.7660168379,6.619846724759242e-06,8.467370294455264e-06
1000000,2.093394319234451e-06,2.677633845297977e-06
