q,h,x,rule,normalized_radius
3,1,0,0-hop,1
3,2,0,0-hop,1
3,4,0,0-hop,1
4,1,0,0-hop,1
4,2,0,0-hop,1
4,4,0,0-hop,1
5,1,0,0-hop,1
5,2,0,0-hop,1
5,4,0,0-hop,1
3,1,1,1-hop,0.6793426958659364
3,2,1,1-hop,0.7076377326154923
3,4,1,1-hop,0.7573567278759379
4,1,1,1-hop,0.808951266024604
4,2,1,1-hop,0.8131424153606145
4,4,1,1-hop,0.8275843025376896
5,1,1,1-hop,0.8579829623587352
5,2,1,1-hop,0.8600045283904876
5,4,1,1-hop,0.8626404801993205
3,1,2,Full port,0.5773502692184561
3,2,2,Full port,0.6454972244142012
3,4,2,Full port,0.7559289458115015
4,1,2,Full port,0.5590169946400748
4,2,2,Full port,0.6123724356999979
4,4,2,Full port,0.7071067810169606
5,1,2,Full port,0.5477225580576932
5,2,2,Full port,0.5916079792962503
5,4,2,Full port,0.6708203937842797
