category	file	bytes	pages	sha256	text_file
01_direct_lineage	2012_pasqualetti_carli_bullo_iterative_projections.pdf	1162543	19	a1dc7ebe3b5930dde7dcd8a7b7a5676c1a05eed6fb9c05b8dc275d59ce800889	01_direct_lineage\2012_pasqualetti_carli_bullo_iterative_projections.txt
01_direct_lineage	2013_tai_lin_fu_sun_distributed_state_estimation_acc.pdf	462466	6	fff8130cc40ea827d49274d38c6ca6fcc6b87357feabdba9884802aa43c6e1ac	01_direct_lineage\2013_tai_lin_fu_sun_distributed_state_estimation_acc.txt
01_direct_lineage	2015_marelli_fu_distributed_wls_automatica.pdf	2152940	13	5955a5be3e94b16f7037c6e64642abff327ad07920213fd3b3e4eab556d477ee	01_direct_lineage\2015_marelli_fu_distributed_wls_automatica.txt
01_direct_lineage	2015_marelli_ninness_fu_power_networks_sysid.pdf	455653	6	6801ab42929976e2033e881c5b26c64f3d7d3703d57a403cda405d035a0e7e5e	01_direct_lineage\2015_marelli_ninness_fu_power_networks_sysid.txt
01_direct_lineage	2018_sui_marelli_fu_lu_loopy_wls_accuracy.pdf	407761	19	a29ee9ec2d926851a51b519f2cee6c67f8facbbd2976e9aa91bb73c4fcbb3084	01_direct_lineage\2018_sui_marelli_fu_lu_loopy_wls_accuracy.txt
01_direct_lineage	2018_wu_fu_xu_lu_distributed_kalman_loop_removal.pdf	1539839	10	6f4c3656ffddb6c8660fa2bf0d29087c17f4ef406591fd05ed077b84b54f0891	01_direct_lineage\2018_wu_fu_xu_lu_distributed_kalman_loop_removal.txt
01_direct_lineage	2020_marelli_et_al_gaussian_bp_static_estimator.pdf	758819	16	d4427e82c75ff3d608512bd6535de0a0962b663d28ccebdc60806ca875da5078	01_direct_lineage\2020_marelli_et_al_gaussian_bp_static_estimator.txt
01_direct_lineage	2020_yang_zhang_fu_wls_edge_measurements.pdf	178568	6	fa9195fe72d786df29d0deb262784f5b87bbf91b39651ba7985b0e86105c2444	01_direct_lineage\2020_yang_zhang_fu_wls_edge_measurements.txt
01_direct_lineage	2023_cai_zhang_fu_belief_propagation_computations.pdf	2411768	9	1e4cc202702c16c7609f9bba56db3ff71e06f920f6182e4ab1213266e4af5552	01_direct_lineage\2023_cai_zhang_fu_belief_propagation_computations.txt
02_graphical_models_local_inference	2001_weiss_freeman_gaussian_bp_arbitrary_topology.pdf	1542819	7	f0cf28f28ca47a9d688e45f1256b3dde26dfe8dbf0e3b0a6c0b42cd3eb7454d2	02_graphical_models_local_inference\2001_weiss_freeman_gaussian_bp_arbitrary_topology.txt
02_graphical_models_local_inference	2006_malioutov_johnson_willsky_walk_sums_gaussian_bp.pdf	345369	34	c79219b3eb9efcd840d037c412f98bc7567fd60d60dc505db5373446d0ac28aa	02_graphical_models_local_inference\2006_malioutov_johnson_willsky_walk_sums_gaussian_bp.txt
02_graphical_models_local_inference	2012_hatami_lovasz_szegedy_local_global_graph_limits.pdf	312011	26	4cd908b5948b2df80cce3a64132b03fe39e7609bd70cfec892be9c04c39fc782	02_graphical_models_local_inference\2012_hatami_lovasz_szegedy_local_global_graph_limits.txt
02_graphical_models_local_inference	2016_giscard_et_al_path_sums_exact_gaussian_inference.pdf	403699	19	c1825b0efb164b24081e4a19b9faf9303daed3f7f6d01ed4e0f95f1c4db22696	02_graphical_models_local_inference\2016_giscard_et_al_path_sums_exact_gaussian_inference.txt
02_graphical_models_local_inference	2017_backhausz_virag_spectral_measures_factor_iid.pdf	295980	26	aa18909a8e242ed4364835b5e54b89fd384ac845363089c6ad1ccb58966c9c83	02_graphical_models_local_inference\2017_backhausz_virag_spectral_measures_factor_iid.txt
02_graphical_models_local_inference	2018_chen_peng_liu_efficient_localized_inference.pdf	216267	7	b11ac2e08854b797fcd5874df1e7d78882eec53bf0c124cf5e2bf73364be8836	02_graphical_models_local_inference\2018_chen_peng_liu_efficient_localized_inference.txt
02_graphical_models_local_inference	2018_du_et_al_vector_gaussian_bp_convergence.pdf	750072	38	abcb9c1eaf6e65a160cf9b8dee7bd965399a8c3dc585106a503249c822688bdb	02_graphical_models_local_inference\2018_du_et_al_vector_gaussian_bp_convergence.txt
02_graphical_models_local_inference	2018_feng_yin_local_distributed_sampling_counting.pdf	305698	28	b73721cee76b004831cdf3adb1cdbe750077b08bab9e4a39d379997a876e08aa	02_graphical_models_local_inference\2018_feng_yin_local_distributed_sampling_counting.txt
03_sparse_inverse_graph_filters	1984_demko_moss_smith_decay_inverse_band_matrices.pdf	820452	9	62e489938536a3b026589c5b6653cb6a79d54f72fbd72075573521b010e2c6a9	03_sparse_inverse_graph_filters\1984_demko_moss_smith_decay_inverse_band_matrices.txt
